Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Norway,NOR,"Air transport, passengers carried",IS.AIR.PSGR,8928500,8857300,9661200,10383600,11133100,11695500,12727300,13759000,14291500,15009600,15182305,14556181,13699204,12805757,12277222,,,,,,,,,,,,,,,50957868.6,14041322.8
Nepal,NPL,"Air transport, passengers carried",IS.AIR.PSGR,679000,633900,648800,633100,682600,716700,755000,755000,753600,582600,643332,641142,352544,356369,444691,480266,509792,528226,520303,484394,917939,901116.1179,776864.1216,643140,517548,510342,634292,2443630.512,4525805,1659671,1989284
Nauru,NRU,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,210424,30195.52105,34884.32689,19334.84785,16488,34572,38859,47252,45457,40290,50668,9356
New Zealand,NZL,"Air transport, passengers carried",IS.AIR.PSGR,5865600,5370800,5784400,6290800,7716100,7676600,9597000,9435400,8654900,9565600,10781314,11467023,11285424,12259437,11305401,11951935,12382205,12545766,12950904,12104116,13295185,13747024.21,13937353.94,14434056,13618712,14385078,15300409,16271523,17249049.95,17763604.46,8516619.501
OECD members,OED,"Air transport, passengers carried",IS.AIR.PSGR,846937916,826639404,873450392,893611716,971255004,1021039596,1099596504,1151287192,1159476480,1245629100,1333236717,1283609610,1247264642,1278025311,1413357107,1475137918,1523845112,1594664421,1561688255,1516777735,1673073625,1721515451,1764708589,1828732574,1901844153,2024220925,2134765172,2243961564,2361878663,2606490030,901701602.9
Oman,OMN,"Air transport, passengers carried",IS.AIR.PSGR,852900,957500,1081100,1180000,1511800,1452900,1620200,1678400,1849300,1933100,2118338,1980076,2103559,2777424,3267088,,,,,2360682,3262849,3795755,4430383,4994729,5051804,6365784,7709851,9035230,10438241,11239996,2496069
Other small states,OSS,"Air transport, passengers carried",IS.AIR.PSGR,5798000,6502100,6772500,7255400,8573000,8905500,9287800,9670100,10360700,11464000,,,,,,,,,,,29535977.74,31467772.9,34532854.87,34877522,,43818107,51705282,,53400215.37,54258497.62,
Pakistan,PAK,"Air transport, passengers carried",IS.AIR.PSGR,5180200,5197700,5680600,5647100,5663700,5342600,5375000,5882500,5414100,5850000,5293541,6011849,4141009,4522110,5097477,5364134,5714831,5439144,5605758,5303268,6588114,7940545.076,7973906.361,7833901.088,7670348.185,8467827,9628354,7260769,6880637,7420378.249,3711456.87
Panama,PAN,"Air transport, passengers carried",IS.AIR.PSGR,265800,342700,282700,320500,519900,661200,688800,772200,859900,932500,1117411,1114727,1047843,1416071,1500673,1795958,2028711,2473261,2762458,6348000,5524157.43,6380080.184,7517581.277,11656416,11812712.84,12193261,13285098,11975372,12631703,12497758,3074172
Peru,PER,"Air transport, passengers carried",IS.AIR.PSGR,1816200,1490600,1217600,1362400,1894900,2508300,2327500,2724500,2774500,1900000,1595268,2248991,2085823,2226329,3225128,4332223,4217880,5273188,6184410,5843195,7106025.293,8609620.354,10074855.61,12255937.76,12284677,13877662,15081755,16094150,17758527.27,18820572,5705074
Philippines,PHL,"Air transport, passengers carried",IS.AIR.PSGR,5638700,5438100,6136500,6526200,6851500,7179600,7263100,7474600,6731600,5024000,5756288,6416383,6449022,6457529,7387965,8056829,8304634,8818150,9508389,10480898,22575356,26326620.76,28540727.36,25540880,34897404,37023422,40206684,39341995,43080118,47776892,11178423.08
Palau,PLW,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,"Air transport, passengers carried",IS.AIR.PSGR,931200,911000,954000,866000,1112800,970000,970000,1114000,1110300,1058200,1099772,1188089,1234779,690528,762784,818773,918640,918665,904885,847353,1405169,1563593.853,1630308.432,1870968,2074020,1679156,1711274,1864653,1831903,2029701,1501149.466
Poland,POL,"Air transport, passengers carried",IS.AIR.PSGR,1501000,1051200,1102100,1269900,1451800,1657300,1805900,1998000,2212500,2140700,2340919,2670283,2845919,3252222,3493094,3553680,3625982,4269655,4634676,4279072,4099082,4448727.06,4909100.392,5002975.749,5038745.426,4448883,5497163,7376512,9277538,10225516,2686258
Pre-demographic dividend,PRE,"Air transport, passengers carried",IS.AIR.PSGR,7398600,6057800,5674400,5354400,5857800,5618900,5427100,5219400,5677400,5720100,5605843,5129614,,,,,,,,,17819048.66,20387700.77,20515501.68,19925850.82,19349770.9,21230480,20633300,21624757.05,28768397.36,28357862.06,10479452.53
Puerto Rico,PRI,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,"Air transport, passengers carried",IS.AIR.PSGR,222700,222700,235100,241800,241800,254000,254000,280000,64000,76700,82953,78805,84321,75046,93808,101313,105366,110634,108974,101237,73052,78558.86155,100113.3486,371004,90335.875,87082,94919,103560,94245,109095,11649.99528
Portugal,PRT,"Air transport, passengers carried",IS.AIR.PSGR,3504500,3571800,4108800,4378900,4359600,4590100,4805500,6281400,7023100,7339300,6721365,6650492,6795580,7590259,9052471,10139655,9440930,10320040,11171020,9903771,10428173.51,11014639,11338080,11860998,12635439,12706909,13105120,15937325,17367956,22047878.98,6219531.061
Paraguay,PRY,"Air transport, passengers carried",IS.AIR.PSGR,273000,308800,313600,337500,324200,105200,260500,196000,222200,231700,265898,281040,267089,298928,373456,445854,432760,458688,465911,428493,715072,845395.6888,794176,711548.47,608844,452004,467713,454276,710407,632389,131713
West Bank and Gaza,PSE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,"Air transport, passengers carried",IS.AIR.PSGR,647200,661900,711300,669900,734300,775600,1042400,871600,956800,972400,994674,1040635,1169195,1409660,1376595,1366689,1468156,1510124,1487471,1861811,1679808.521,1691669.508,1701510.525,1807896,2006028,2120856,2238966,2543172,2681606,2609710.553,847903.324
Post-demographic dividend,PST,"Air transport, passengers carried",IS.AIR.PSGR,823529116,803342904,851472092,866599916,939020504,989606440.1,1067013204,1118528992,1129879680,1214796800,1301972064,1251639848,1214443600,1229236696,1360640668,1413314874,1455395380,1510562083,1469546762,1409097909,1535018341,1572981002,1599345143,1647552396,1703839062,1789921540,1872020604,1948532976,2038433312,2278375002,760646645.1
French Polynesia,PYF,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Air transport, passengers carried",IS.AIR.PSGR,770900,875500,981100,1080000,1150600,1072500,1200300,1164600,1207000,2325200,2672972,2778116,3570521,3184104,4453071,6041040,7070851,8879109,9702479,10211229,12391268,14568106,17187171,18737348,21425066,25263224,31209097,29949181,29178923,32953297,10640789
Romania,ROU,"Air transport, passengers carried",IS.AIR.PSGR,1322000,1148900,918900,979400,1242700,1244900,913300,995200,907600,980300,1218102,1137305,959487,1255313,1337781,1707714,2047466,3003872,3253417,3268022,3733253,3659209,3593312,3087143,3067724.4,3634598,3686938,4423249,4908235,5630289,1786407
Russian Federation,RUS,"Air transport, passengers carried",IS.AIR.PSGR,,128760600,62173900,36124000,28933100,26524800,22117100,20419000,15223700,18600400,17687894,20301199,20892156,22723072,25948923,26522315,28836949,33187839,37940321,34402844,43855539,50555805,58727125,64072322,72189961,76846126,77458318,89373638,99327311,108857906,62447448
Rwanda,RWA,"Air transport, passengers carried",IS.AIR.PSGR,8400,10100,9100,9100,9100,,,,,,,,,,,,,,,,188221,268376.55,593198.45,610992,626928,544541,644559,1031957.04,1502478,1561562.214,661287.648
South Asia,SAS,"Air transport, passengers carried",IS.AIR.PSGR,18916100,18692200,19784000,18013800,20433000,23175700,22444800,25538500,25389700,25506900,26822530,26775369,25502242,27975359,33660738,38307149,51488173,62460543,60323625,64195666,78888194.89,91031850.07,89645445.18,93893397.49,102251106.6,120221878,142492664,162908959.6,189594450.6,190986478.3,80276160.42
Saudi Arabia,SAU,"Air transport, passengers carried",IS.AIR.PSGR,10311500,9409100,11154800,11864300,12142300,11524200,11706300,11738200,11816200,12328500,12566492,12835735,13564300,13821729,14942633,15933045,16830838,17141188,16708204,17508200,20323592,23135735,26537661,28252104,32269452,33431736,35092840,37503000,39767648,46181487,26987701.89
Sudan,SDN,"Air transport, passengers carried",IS.AIR.PSGR,454100,363200,480000,407900,432400,496900,490800,333100,498700,390300,414179,414983,409178,420498,473127,510977,563026,598151,617785,606558,580325,947031.4561,777346.3319,541644,501864,496177,292843,557792.04,561520,530001,386838
Senegal,SEN,"Air transport, passengers carried",IS.AIR.PSGR,148300,138400,138300,140200,141200,149700,155100,165500,121400,103400,97525,176413,231333,129974,416372,449682,500677,538845,567101,572609,0,391401.4,543987.6,219996,131964,115355,9874,21038,278438.2886,457722,271331
Singapore,SGP,"Air transport, passengers carried",IS.AIR.PSGR,7046400,7745500,8477300,9271200,9929400,10779300,11840700,12980700,13331100,15282600,16704341,16373648,17256872,14172367,16995621,17744017,19565884,20671341,21050204,18427473,24859825.16,26509929.14,29138458.27,31729241,33643518.42,33585397,35370328,38094990,40401515,43050722,7884373
Solomon Islands,SLB,"Air transport, passengers carried",IS.AIR.PSGR,69400,69400,69400,74600,78500,89500,94300,94300,94000,97700,75262,81376,84537,68104,84676,91450,101190,102090,100558,94027,142660,140183.2639,138160.1153,302412,330456,373739,373467,427806,427806,229670.648,138660.862
Sierra Leone,SLE,"Air transport, passengers carried",IS.AIR.PSGR,30000,,16500,17500,14500,14500,15200,0,0,,19009,13877,13877,13599,15503,16743,18752,20252,21420,21784,0,48789,50193,,,,,,,,
El Salvador,SLV,"Air transport, passengers carried",IS.AIR.PSGR,524900,577400,682900,1242500,1617100,1698000,1800000,1700600,1694000,1624100,1960363,1692334,1804307,2182463,2391159,2540564,2579145,2536820,2279763,1996982,1816391.104,2151274,2523296,2509003,2816524,2597649,2603129,2670560,2545105,2609917,805271.999
San Marino,SMR,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,"Air transport, passengers carried",IS.AIR.PSGR,87600,46100,,,,,,,,,,,,,,,,,,,163812.7458,177005.4,178709.7,258336,251652,,4486,4486,33728.96866,34065.55685,
Serbia,SRB,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,994880,1185479,1011231,1076473,918540,1041747,1118404,1135322,926618,985072,1149102,1240709,1241352,2187144,2427047,2486009,2442731,2262703,2469081,795228
Sub-Saharan Africa (excluding high income),SSA,"Air transport, passengers carried",IS.AIR.PSGR,14566000,13966200,13273000,13633700,14645200,15054600,15661100,16093100,15873700,16774800,17519022,16753549,16016828,17470433,19705682,23121258,25230306,26657989,27510500,27184327,37778795.14,42254442.4,45172846.8,43445905.82,43973716.12,47353496,49115389,53627313.08,64496529.36,65822245.92,24631784.5
South Sudan,SSD,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,"Air transport, passengers carried",IS.AIR.PSGR,14808400,14208800,13512500,13923000,14942600,15368600,16034300,16477400,16242300,17122000,17912857,17173516,16535011,17883529,20167567,23620094,25775571,27232504,28096606,27748907,38191509.14,42648276.4,45408840.8,43790341.82,44380996.12,47850992,49683303,54260831.08,64951730.36,66236333.92,24781273.5
Small states,SST,"Air transport, passengers carried",IS.AIR.PSGR,10857400,11625200,11807800,12380400,14086600,14804300,15011900,15107800,15925200,18686500,20091826,19806596,,,,,,,,,36212017.26,38988883.58,42154410.3,42160917.6,47106779.95,51784766,59930507,60503751,62727473.88,63378168.72,
Sao Tome and Principe,STP,"Air transport, passengers carried",IS.AIR.PSGR,22300,22300,22300,22300,22300,22300,23000,24600,24500,33500,35054,35054,34496,35680,40076,43282,47585,50440,51921,50716,,,,,,,,,36660,41933,20703
Suriname,SUR,"Air transport, passengers carried",IS.AIR.PSGR,132500,150000,123000,96000,148900,161800,194700,278800,277700,307500,232649,202899,191094,258311,289309,315410,306504,324821,329788,303117,214667,204096.676,240525.4415,255204,269148,259682,280090,284935,272347,236601,89027.2
Slovak Republic,SVK,"Air transport, passengers carried",IS.AIR.PSGR,,,,18300,22500,41100,62600,80700,107300,110600,57095,43113,82821,190182,636276,711939,779759,2679227,2690428,3440816,74856,34859,45111,64008,29031.5983,11098,12928,7925,,,2669
Slovenia,SVN,"Air transport, passengers carried",IS.AIR.PSGR,,,188400,291200,339600,370700,393000,403800,459900,555500,627907,689635,720513,758392,764991,757651,860735,945420,1103685,953378,979803,972711,816630,857000,916981,1045409,1009559,1087075,1094762,869640.1,78565
Sweden,SWE,"Air transport, passengers carried",IS.AIR.PSGR,11402500,9826800,9923500,9719000,10807700,9498000,9879000,11326900,11877700,12917600,13354314,13123426,12421220,11586025,11623925,,,,,,,,,,,,,,,50957868.6,14041322.8
Eswatini,SWZ,"Air transport, passengers carried",IS.AIR.PSGR,52900,59300,57200,58400,64800,49300,54300,40700,40500,83000,89791,,,,,,,,,,,,,,,,,,51633,52744,10647
Sint Maarten (Dutch part),SXM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,"Air transport, passengers carried",IS.AIR.PSGR,242400,242600,239500,289300,297400,314000,373200,384300,368600,347200,393835,419967,518183,413096,461885,498836,545265,574515,586106,564580,412714,393834,235994,344436,407280,497496,567914,633518,455201,414088,149489
Syrian Arab Republic,SYR,"Air transport, passengers carried",IS.AIR.PSGR,613300,661200,551900,485000,472100,563100,598500,694200,685400,668400,750129,760923,926850,907850,1169646,1239825,1252102,1371450,1358473,1342518,1158366,1433766.695,907927.7418,475932,475932,17902,18117,17564,17896.92117,18456.64505,10409.547
Turks and Caicos Islands,TCA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,"Air transport, passengers carried",IS.AIR.PSGR,93300,83400,83400,85200,86300,92100,93100,93000,98000,83900,77273,46364,,,,,,,,,48519.19966,74653.8,52041.6,28080,28332,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Air transport, passengers carried",IS.AIR.PSGR,52002100,57726400,68859100,76948800,88615600,104066600,110608300,107441300,106316600,105448300,117392048,131820683,144870039,145911102,202852010,220785964,244343650,277657591,287610282,326402729,430771969.4,482426892.5,525964519.9,579440333.8,640110151.3,708750644,790446548,881640190,964270665.1,1003417980,546798456.4
Europe & Central Asia (IDA & IBRD countries),TEC,"Air transport, passengers carried",IS.AIR.PSGR,,,86420700,54682300,48310200,46923144.1,42728900,41166500,37014300,40019000,41986042,44543460,45328183,49555883,58378519,63293892,69212039,77911513,87710738,88865012,115461132,133766768.6,153418991.8,171433958.6,188867281.8,206959900,214729427,241813816,263345266.5,272506497.3,125366507.9
Togo,TGO,"Air transport, passengers carried",IS.AIR.PSGR,76300,66300,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,663013,832351.1564,745781.7481,840948,426344.0399,420875,475185,500686,566295,633629,320806
Thailand,THA,"Air transport, passengers carried",IS.AIR.PSGR,8201400,7708600,8546800,10196900,11404700,12771400,14078300,14235800,15015400,15950500,17392091,17662418,18111892,16622502,20342582,18902629,20102408,21191723,19993134,19618735,28780723,31940491.98,36392469.35,43029150.6,46546612.48,56447637,62341676,70704889,76053042.75,76344410,28179302.67
Tajikistan,TJK,"Air transport, passengers carried",IS.AIR.PSGR,,,,782600,782600,822100,594000,594000,591700,155800,168006,,496905,442712,598456,479172,394440,501178,683248,764505,616999.4123,846967.3803,650130.5474,683060.1575,1064176.328,1034477,1037897,580374,492320,539094.616,260316
Turkmenistan,TKM,"Air transport, passengers carried",IS.AIR.PSGR,,,,747800,747800,747800,523000,523000,521000,1050400,1283780,1407423,1407423,1411910,1612479,1653638,1843140,1850921,1823157,1706055,300970,160243.7654,147500,1800847.458,579715.68,897079,1318350,2136219,2457474,2081424.32,1084543.419
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Air transport, passengers carried",IS.AIR.PSGR,62937900,62216000,63335900,66721700,72301500,71128400,75346000,83418400,88239900,90651300,93639750,99068745,95813090,92587521,99215943,105704481,108594923,118159408,131727500,138693494,175872865,195644076.8,214936094,232318775.1,246692569.6,262023503,264419476,273553611.4,290659005.9,302747680.6,119940410.2
Timor-Leste,TLS,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,"Air transport, passengers carried",IS.AIR.PSGR,20968500,18725100,19938500,19026300,20017600,20833300,22956900,26337800,25271800,25105400,26100792,34079465,26788324,32800028,30468644,31260133,34256632,36205520,35864926,38021520,52770471.77,52290259.43,50973534.93,53720922.15,54370978.91,50614910,55760221,66657459.79,67240082.92,68779625.65,26673598.9
Tonga,TON,"Air transport, passengers carried",IS.AIR.PSGR,34600,34600,35300,35300,53300,53300,56000,49000,48800,50300,51615,56777,58480,60819,75416,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),TSA,"Air transport, passengers carried",IS.AIR.PSGR,18916100,18692200,19784000,18013800,20433000,23175700,22444800,25538500,25389700,25506900,26822530,26775369,25502242,27975359,33660738,38307149,51488173,62460543,60323625,64195666,78888194.89,91031850.07,89645445.18,93893397.49,102251106.6,120221878,142492664,162908959.6,189594450.6,190986478.3,80276160.42
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Air transport, passengers carried",IS.AIR.PSGR,14808400,14208800,13512500,13923000,14942600,15368600,16034300,16477400,16242300,17122000,17912857,17173516,16535011,17883529,20167567,23620094,25775571,27232504,28096606,27748907,38191509.14,42648276.4,45408840.8,43790341.82,44380996.12,47850992,49683303,54260831.08,64951730.36,66236333.92,24781273.5
Trinidad and Tobago,TTO,"Air transport, passengers carried",IS.AIR.PSGR,1285400,1345300,1354000,1389000,1642100,1727000,897200,807500,804400,1111700,1254425,1387639,1268879,1084186,1132392,1055106,1024304,1085650,1102669,1014016,1842253,2625055.713,2625055.713,2865852,2732100,2617843,2598521,2582961,2458183,2583595,677670
Tunisia,TUN,"Air transport, passengers carried",IS.AIR.PSGR,1313000,1201200,1249900,1351000,1390800,1419400,1371200,1779300,1859000,1922600,1907876,1926118,1789327,1719524,1940037,1996699,2054641,2054679,2274580,2278964,2739634,3153388.977,3580910.219,4648608,4628511,3496190,3606247,3963968,4274199,4335325,1381745
Turkiye,TUR,"Air transport, passengers carried",IS.AIR.PSGR,4337100,3160000,4958600,6076800,6871600,7749000,8463900,9379900,9949300,10097300,12187891,10603908,10686877,10745444,14275835,16943828,19361415,22895275,25505092,31339441,45665249,53500303,63350312,74413804.62,84574844,96604665,100366461,107917326,115595495.8,111131475,44722690.06
Tuvalu,TUV,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,"Air transport, passengers carried",IS.AIR.PSGR,292100,289700,216400,188500,199200,236400,224000,217800,220200,190000,193069,174559,134470,149540,243087,257223,189844,250849,202704,683541,750421,914932.0376,1030203.575,1173942.818,1124913.454,1312807,1179664,1221678,1698386,1498093,909563.5
Uganda,UGA,"Air transport, passengers carried",IS.AIR.PSGR,116000,26300,31600,77700,62500,94600,100200,100200,99800,179400,39379,40560,40560,39749,45711,49368,55292,59715,63160,64234,154909,141603,182144.4,198804,163824,41812,52187,14958,21212,19822.5,6158.84535
Ukraine,UKR,"Air transport, passengers carried",IS.AIR.PSGR,,,4906200,1278000,604900,1005300,1151200,1189600,1066400,910100,950697,986022,1119889,1652632,2200094,2512910,2801992,1736018,3456288,3427818,3956053,5477654.918,5828107.612,5218814.574,4503610,4620530,5756509,6794396,7854842,7604522.332,1790620.666
Upper middle income,UMC,"Air transport, passengers carried",IS.AIR.PSGR,102432300,230831000,182536100,163210400,172231000,183279800,189199900,195876700,194958100,205933200,219713825,232204792,245157610,248926341,303376951,330756554,361390141,407732789,434880547,479322189,603083311.1,666930356.2,733720058.8,815113379.2,888327375,980302527,1049460249,1161092627,1269391719,1341380766,695143106.5
Uruguay,URY,"Air transport, passengers carried",IS.AIR.PSGR,318300,318300,430000,502900,499300,476700,504000,544000,556700,593400,642027,558563,525049,463884,564149,586458,568864,602996,612644,563632,,,,,,,,,,,
United States,USA,"Air transport, passengers carried",IS.AIR.PSGR,464574016,452015904,466964992,469926112,514924000,533512096,571072000,590571392,588170880,634364608,665327414,622187846,598410415,588997110,678110608,720547738,725530965,744302310,701779551,679423408,720497000,730796000,736699000,743171000,762710000,798222000,824039000,849403000,889024000,926737000,369501000
Uzbekistan,UZB,"Air transport, passengers carried",IS.AIR.PSGR,,,4032500,2217300,2217300,2217300,1566200,1566200,1560200,1657600,1744510,2256380,1451004,1465798,1588049,1639276,1665190,1940378,2033933,1850056,2114050,2275947,2593509,2614085,2545935,2486673,2383631,2581865,3056558,3685192,933769
St. Vincent and the Grenadines,VCT,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,"Air transport, passengers carried",IS.AIR.PSGR,6846800,6795200,7149400,6813900,5266800,4445000,4487400,4020300,3736600,4690000,4295000,9452434,6369455,3889929,4943887,5043028,5225573,5495292,5766973,5121009,6428163,7728281.254,7738509.645,6866780.599,7888722.399,7086072,6025475,4209158,2217407,1516839,283524
British Virgin Islands,VGB,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,"Air transport, passengers carried",IS.AIR.PSGR,89000,198000,204200,1200000,1670000,2290000,2107500,2527300,2303500,2600000,2877894,3427176,4038133,3969320,5049706,5453683,5283831,7194443,9991145,11073604,14377619,16544477.83,16976051.38,20429309.91,23826013.27,29944771,37349272,42592762,47049671,53227026,31771202
Vanuatu,VUT,"Air transport, passengers carried",IS.AIR.PSGR,18500,53000,59200,66700,70400,65600,72800,75000,88700,86000,101503,97471,104294,83151,103939,112254,116744,122581,120742,112169,247944,240396.4377,318747,327060,320232,272332,299315,341110,374603,466865.0531,196963.404
World,WLD,"Air transport, passengers carried",IS.AIR.PSGR,1024976616,1133228204,1145436692,1142265216,1233233404,1302891640,1390963704,1455104192,1466961780,1562256300,1674064712,1655230214,1627404873,1665309283,1888695284,1969590799,2072413898,2209136496,2208218737,2249728546,2628261258,2786953830,2894054972,3048275073,3227291386,3466478485,3705101897,3973790463,4242447521,4557605838,1809388959
Samoa,WSM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,270000,74900,148800,155500,164142,173479,182292,198115,246875,266625,287596,294927,290503,270908,,,,,76944,98950,116167,81921,77811,74867,11957
Kosovo,XKX,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,"Air transport, passengers carried",IS.AIR.PSGR,671100,540500,800400,847900,790600,375000,587500,706900,765000,731000,841609,841366,869296,844284,1022079,1083404,1162316,1073493,1064878,1050486,1536556,1492073.329,1299707.239,1664220,1665552,443685,242723,132571,336310,,52034.893
South Africa,ZAF,"Air transport, passengers carried",IS.AIR.PSGR,5364900,4818600,4685000,5581500,5801600,6395500,7183100,7274200,6479500,7403800,8000757,7948374,8052660,9159815,9878598,11844657,12932671,12870324,13135437,12503629,15781210,16407784.96,17571565.2,16311250,17026643.22,18882898,19744932,20821044,24660386,26211258,8304771.044
Zambia,ZMB,"Air transport, passengers carried",IS.AIR.PSGR,407200,292500,246000,219000,234700,,,49600,48800,77700,89628,48517,47075,50977,49888,53880,58679,61589,62467,,260502,306034.3,127296.65,10032,8592,203617,144060,154573,16633.13894,17505.68964,8717.833
Zimbabwe,ZWE,"Air transport, passengers carried",IS.AIR.PSGR,601300,740200,677900,594600,675300,625700,653700,790100,788900,651000,607976,308096,250532,200857,225021,243022,239045,254783,264404,261480,258828,279347.6184,320945.9998,351564,301260,370165,378803,282539,282539,,324226.537